OrgType,OrgCode,OrgName,VariableType,VariableA,VariableB,CountTherapyEndTreatment_LI_GuidedSelfHelpBook,CountTherapyEndTreatment_LI_NonGuidedSelfHelpBook,CountTherapyEndTreatment_LI_GuidedSelfHelpComputer,CountTherapyEndTreatment_LI_NonGuidedSelfHelpComputer,CountTherapyEndTreatment_LI_StructuredPhysicalActivity,CountTherapyEndTreatment_LI_PsychoEducationalPeerSupport,CountTherapyEndTreatment_LI_Signposting,CountTherapyEndTreatment_LI_Other,CountTherapyEndTreatment_HI_AppliedRelaxation,CountTherapyEndTreatment_HI_CouplesTherapyForDepression,CountTherapyEndTreatment_HI_CollaborativeCare,CountTherapyEndTreatment_HI_CounsellingForDepression,CountTherapyEndTreatment_HI_ShortTermPsychoDynamicPsychotherapy,CountTherapyEndTreatment_HI_EyeMovementDesensitisationReprocessing,CountTherapyEndTreatment_HI_Mindfulness,CountTherapyEndTreatment_HI_CognitiveBehaviourTherapy,CountTherapyEndTreatment_HI_InterpersonalPsychoTherapy,CountTherapyEndTreatment_HI_InternetEnabledTherapy,CountTherapyEndTreatment_HI_Other,CountTherapyEndTreatment_EmploymentSupport,CountTherapyEndTreatment_LastNotStated
CCG,10X,NHS SOUTHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,10X,NHS SOUTHAMPTON CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,10X,NHS SOUTHAMPTON CCG,Therapy type recorded at start of treatment,NULL,Employment Support,5,*,*,*,*,5,*,*,*,*,*,*,*,*,*,5,*,*,*,*,*
CCG,10X,NHS SOUTHAMPTON CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,785,*,180,*,*,*,*,210,*,*,*,*,*,*,*,765,*,*,25,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,75,*,195,*,*,*,*,10,*,*,*,*,*,*,*,60,*,35,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,35,*,*,*,*,*,*,205,*,*,*,*,*,*,*,20,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),30,*,5,*,*,*,*,20,*,*,*,*,*,*,*,915,*,*,75,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,10,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11A,NHS WEST HAMPSHIRE CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,1920,*,285,*,*,1075,10,*,*,*,5,40,10,35,5,1310,15,130,710,140,20
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,65,*,290,*,*,20,*,*,*,*,*,*,*,*,*,65,*,50,10,10,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,110,*,25,*,*,545,*,*,*,*,*,15,*,10,5,230,*,*,50,30,5
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,10,*,15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,10,*,*,*,*,*,*,*,*,*,10,*,*,10,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,5,*,*,*,*,*,25,*,*,*,*,*,*,75,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,35,*,20,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,5,*,*,*,*,*,*,*,*,40,5,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),250,*,65,*,*,270,*,*,*,*,*,10,*,45,*,1960,5,20,210,70,15
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,10,*,*,*,*,35,*,*,*,*,*,10,10,*,*,40,5,*,725,15,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,NULL,Employment Support,25,*,*,*,*,5,*,*,*,*,*,*,*,*,*,35,*,*,20,35,*
CCG,11J,NHS DORSET CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,15
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,640,*,60,*,*,*,*,45,*,*,*,*,*,*,*,285,*,10,*,*,5
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,25,*,200,*,*,*,*,*,*,*,*,*,*,*,*,10,*,45,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,1065,5,470,*,*,*,*,545,*,*,*,*,*,20,*,1630,20,50,25,*,40
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),100,*,50,*,*,*,*,15,*,*,*,*,*,10,*,635,*,*,5,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11M,NHS GLOUCESTERSHIRE CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,25
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,465,*,*,20,*,10,*,*,*,40,*,*,10,370,*,25,*,*,5
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,20,*,*,50,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,20,*,1530,*,*,85,*,225,*,*,*,385,*,5,85,2105,*,220,*,*,25
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,55,*,*,*,*,5,*,*,*,95,*,*,*,85,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,25,5,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),*,*,260,*,*,20,*,30,*,*,*,55,*,5,10,685,*,60,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,10,*,*,*,10,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,15,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11N,NHS KERNOW CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,405,10,*,*,*,15,*,*,*,*,*,50,*,*,*,105,5,55,15,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,1320,155,*,*,*,60,*,*,*,*,*,570,*,30,10,1040,60,180,50,*,5
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,10,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,5,*,*,*,*,*,*,*,*,*,*,85,*,*,*,5,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),125,15,*,*,*,*,*,*,*,*,*,70,*,5,*,290,10,*,5,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,5,*,*,*,*,5,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,55,*,*,*,*,*,*,*,*,*,*,55,*,*,*,100,10,*,10,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,11X,NHS SOMERSET CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help book,15,*,*,*,*,*,*,*,*,*,*,*,*,*,*,20,*,*,5,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,Low intensity,Other low intensity,1080,*,480,*,*,*,*,415,*,*,*,275,*,40,*,1090,25,*,535,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Collaborative care,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Counselling for depression,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Short-term psychodynamic therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Eye movement desensitisation and reprocessing therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Mindfulness-based therapy,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Cognitive behavioural therapy (CBT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,40,*,*,10,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Interpersonal psychotherapy (IPT),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Internet Enabled Therapy (IET),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,High intensity,Other high intensity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,10,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,NULL,Employment Support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,12F,NHS WIRRAL CCG,Therapy type recorded at start of treatment,Not known/not stated/invalid,Not known/not stated/invalid,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,Low intensity,Guided self help book,25,*,10,*,*,10,*,*,*,*,*,*,*,*,*,25,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,Low intensity,Non guided self help book,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,Low intensity,Guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,Low intensity,Non guided self help computer,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,Low intensity,Structured physical activity,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,Low intensity,Psychoeducational peer support,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,Low intensity,Signposting,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,Low intensity,Other low intensity,5,*,10,*,*,*,*,15,*,*,*,*,*,*,*,15,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,High intensity,Applied relaxation,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
CCG,13Q,NATIONAL COMMISSIONING HUB 1,Therapy type recorded at start of treatment,High intensity,Couples therapy for depression,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
